vehiculo_marca;vehiculo_modelo;vehiculo_traccion;vehiculo_id;vehiculo_cilindrada;vehiculo_potencia;vehiculo_tipo_transmision;vehiculo_tipo_combustible;vehiculo_standard_emision;lca_numero;fecha_firma;ensayo_gei_numero;ensayo_gei_laboratorio;emision_CO2;consumo_urbano;consumo_extraurbano;consumo_mixto;id_etiqueta
AUDI;SEDÁN 4 PUERTAS CON PORTÓN TRASERO;4x2;AUDI DADA;1498;110;AUTOMATICA;NAFTA;EURO VI;317;9/5/2019;AUA5682A;ATE-EL LUXEMBOURG;123.58;9.039;6.125;7.085;000292B
AUDI;SEDÁN 4 PUERTAS CON PORTÓN TRASERO;4x2;AUDI DADA;1498;110;MANUAL;NAFTA;EURO VI;318;30/4/2019;AUA5706A;ATE-EL LUXEMBOURG;129.4;7.973;5.817;6.613;000293B
AUDI;STATION WAGON - SUV - CROSSOVER - 4 PUERTAS CON PORTÓN TRASERO;4x4;AUDI CVMD;2967;183;AUTOMÁTICA;GAS OIL;EURO V;321;30/4/2019;AUA5589A;ATE-EL LUXEMBOURG;210;9.3;7.1;7.9;000296B
AUDI;HATCHBACK 4 PUERTAS CON PORTÓN TRASERO;4x2;AUDI DKJA;999;85;AUTOMÁTICA;NAFTA;EURO VI;475;27/8/2019;AUA5866A;ATE - EL;123;6.3;4.9;5.4;000409B
AUDI;SUV 4 PUERTAS CON PORTÓN TRASERO;4x2;AUDI CZDA;1395;110;AUTOMÁTICA;NAFTA;EURO VI;527;12/11/2019;AUA5790A;ATE - EL;166;9.4;6.1;7.3;000463B
AUDI;HATCHBACK;4x2;AUDI CZDA;1395;110;AUTOMÁTICA;NAFTA;EURO VI;599;10/2/2020;AUA5819B;ATE - EL;167;9.4;6.1;7.3;000520C
AUDI;STATION WAGON;4x4;AUDI DLZA / CONTINENTAL BSG-HP1-65;2995;250;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO V;623;3/3/2020;AUA5969A;ATE - EL;176;9.8;6.5;7.7;000533C
AUDI;SUV;4x4;AUDI DCBD / CONTINENTAL BSG-HP1-65;2995;250;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI;624;5/3/2020;AUA5959B;ATE - EL;215;11.5;8.2;9.4;000534C
AUDI;STATION WAGON / HATCHBACK;4x4;AUDI CZPA;1984;132;AUTOMÁTICA;NAFTA;EURO VI;677;17/6/2020;AUA6000A;ATE - EL;231;10.2;7.2;8.3;000569C
AUDI;STATION  WAGON, CROSSOVER, SUV, 4 PUERTAS CON PORTÓN TRASERO;4x4;AUDI CVMD;2967;183;AUTOMÁTICA;GAS OIL;EURO V;684;25/6/2020;AUA5103C;ATE - EL;211;9.4;7.2;8;000573C
AUDI;SEDÁN 4 PUERTAS, COUPÉ 2 PUERTAS;4x4;AUDI DDWB / VALEO IST60S;1984;183;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI;809;25/1/2021;AUA6020A;ATE-EL LUXEMBOURG;162;8.9;6;7.1;000687D
AUDI;RURAL 4 PUERTAS CON PORTÓN TRASERO;4x4;AUDI DDWB / VALEO IST60S;1984;183;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI;809;25/1/2021;AUA6020A;ATE-EL LUXEMBOURG;169;9.1;6.4;7.4;000688D
